FID ID phe0 phe1 phe2 
1 100000  0 0.7936739068883238 0.20632609311167788 
1 100001  0 0.8045949116207596 0.19540508837924242 
2 200000  0 0.8017635400234617 0.1982364599765405 
2 200001  1 0.7969097601423794 0.20309023985762287 
3 300000  0 0.7969097601423791 0.2030902398576229 
3 300001  0 0.7993366500829202 0.20066334991708168 
4 400000  0 0.7973142417991359 0.2026857582008661 
4 400001  0 0.7989321684261632 0.2010678315738386 
5 500000  0 0.80459491162076 0.19540508837924236 
5 500001  0 0.8013590583667046 0.19864094163329732 
6 600000  0 0.7993366500829202 0.2006633499170817 
6 600001  0 0.7969097601423789 0.20309023985762292 
7 700000  1 0.8017635400234615 0.1982364599765405 
7 700001  0 0.7977187234558927 0.20228127654410918 
8 800000  0 0.8033814666504895 0.196618533349513 
8 800001  0 0.8049993932775165 0.1950006067224855 
9 900000  0 0.800550095053191 0.19944990494681114 
9 900001  1 0.8049993932775162 0.19500060672248554 
10 1000000  1 0.7977187234558923 0.20228127654410916 
10 1000001  1 0.7985276867694069 0.2014723132305954 
11 1100000  0 0.8025725033369752 0.19742749666302672 
11 1100001  0 0.8005500950531912 0.19944990494681103 
12 1200000  1 0.8025725033369753 0.19742749666302678 
12 1200001  0 0.8021680216802187 0.1978319783197836 
13 1300000  0 0.7985276867694062 0.20147231323059542 
13 1300001  0 0.8001456133964341 0.19985438660356797 
14 1400000  1 0.794078388545081 0.205921611454921 
14 1400001  0 0.8001456133964339 0.19985438660356797 
15 1500000  1 0.8049993932775165 0.1950006067224856 
15 1500001  0 0.8009545767099475 0.1990454232900542 
16 1600000  1 0.8058083565910302 0.19419164340897177 
16 1600001  0 0.7969097601423791 0.20309023985762287 
17 1700000  0 0.7981232051126499 0.20187679488735225 
17 1700001  0 0.8001456133964342 0.19985438660356786 
18 1800000  0 0.7900335719775122 0.20996642802248963 
18 1800001  0 0.800954576709948 0.1990454232900542 
19 1900000  1 0.7997411317396773 0.2002588682603248 
19 1900001  0 0.8029769849937325 0.19702301500626984 
20 2000000  0 0.8009545767099475 0.19904542329005429 
20 2000001  0 0.7952918335153516 0.2047081664846504 
21 2100000  0 0.8033814666504893 0.19661853334951296 
21 2100001  0 0.800550095053191 0.19944990494681106 
22 2200000  0 0.8005500950531911 0.19944990494681109 
22 2200001  1 0.8005500950531905 0.19944990494681114 
23 2300000  0 0.8021680216802185 0.1978319783197836 
23 2300001  0 0.7997411317396768 0.20025886826032485 
24 2400000  0 0.8025725033369753 0.19742749666302678 
24 2400001  0 0.8009545767099477 0.1990454232900542 
25 2500000  0 0.8025725033369755 0.19742749666302672 
25 2500001  0 0.7985276867694067 0.2014723132305954 
26 2600000  0 0.7932694252315668 0.20673057476843468 
26 2600001  0 0.800550095053191 0.19944990494681109 
27 2700000  0 0.8045949116207597 0.19540508837924236 
27 2700001  0 0.7989321684261638 0.20106783157383853 
28 2800000  1 0.7973142417991359 0.20268575820086604 
28 2800001  0 0.7977187234558927 0.20228127654410918 
29 2900000  0 0.7981232051126497 0.20187679488735227 
29 2900001  0 0.7985276867694066 0.20147231323059547 
30 3000000  0 0.8013590583667045 0.19864094163329735 
30 3000001  0 0.7961007968288656 0.20389920317113663 
31 3100000  0 0.8033814666504888 0.19661853334951307 
31 3100001  0 0.7981232051126497 0.20187679488735227 
32 3200000  0 0.8017635400234611 0.1982364599765406 
32 3200001  0 0.802976984993732 0.19702301500626984 
33 3300000  0 0.7989321684261632 0.20106783157383862 
33 3300001  0 0.8001456133964342 0.199854386603568 
34 3400000  1 0.7973142417991357 0.20268575820086607 
34 3400001  0 0.8005500950531912 0.19944990494681106 
35 3500000  1 0.794482870201838 0.20551712979816403 
35 3500001  1 0.7977187234558929 0.20228127654410916 
36 3600000  0 0.7985276867694067 0.20147231323059542 
36 3600001  0 0.7952918335153516 0.20470816648465034 
37 3700000  0 0.8041904299640026 0.1958095700359993 
37 3700001  0 0.7961007968288651 0.20389920317113666 
38 3800000  0 0.8058083565910301 0.19419164340897183 
38 3800001  1 0.803381466650489 0.196618533349513 
39 3900000  1 0.8029769849937319 0.1970230150062699 
39 3900001  1 0.8021680216802185 0.19783197831978366 
40 4000000  1 0.7969097601423791 0.20309023985762287 
40 4000001  0 0.8001456133964342 0.1998543866035679 
41 4100000  0 0.8017635400234617 0.19823645997654044 
41 4100001  0 0.7977187234558925 0.20228127654410916 
42 4200000  1 0.7993366500829202 0.20066334991708173 
42 4200001  0 0.7961007968288654 0.20389920317113658 
43 4300000  0 0.8033814666504886 0.19661853334951304 
43 4300001  0 0.799741131739677 0.20025886826032485 
44 4400000  0 0.8001456133964342 0.1998543866035679 
44 4400001  0 0.7981232051126497 0.20187679488735233 
45 4500000  0 0.8058083565910303 0.19419164340897183 
45 4500001  0 0.7977187234558927 0.20228127654410913 
46 4600000  0 0.8070218015613013 0.19297819843870123 
46 4600001  1 0.8029769849937323 0.1970230150062699 
47 4700000  0 0.8054038749342735 0.19459612506572865 
47 4700001  0 0.8013590583667045 0.19864094163329737 
48 4800000  0 0.798932168426163 0.20106783157383862 
48 4800001  0 0.7965052784856221 0.2034947215143798 
49 4900000  0 0.7981232051126497 0.20187679488735233 
49 4900001  0 0.8086397281883284 0.19136027181167375 
50 5000000  1 0.7969097601423789 0.20309023985762295 
50 5000001  0 0.7981232051126498 0.20187679488735227 
51 5100000  0 0.8017635400234618 0.19823645997654046 
51 5100001  0 0.7993366500829201 0.20066334991708165 
52 5200000  1 0.7985276867694066 0.2014723132305954 
52 5200001  0 0.7981232051126499 0.20187679488735227 
53 5300000  1 0.802976984993732 0.19702301500626984 
53 5300001  1 0.8013590583667052 0.19864094163329726 
54 5400000  0 0.8054038749342736 0.19459612506572865 
54 5400001  1 0.7993366500829203 0.20066334991708176 
55 5500000  0 0.7997411317396769 0.20025886826032485 
55 5500001  1 0.7961007968288654 0.20389920317113663 
56 5600000  0 0.8005500950531914 0.19944990494681103 
56 5600001  1 0.7928649435748104 0.20713505642519153 
57 5700000  1 0.7940783885450807 0.20592161145492102 
57 5700001  1 0.8037859483072458 0.1962140516927562 
58 5800000  1 0.8070218015613011 0.19297819843870123 
58 5800001  0 0.7977187234558931 0.2022812765441091 
59 5900000  0 0.7997411317396772 0.20025886826032485 
59 5900001  1 0.7977187234558933 0.20228127654410907 
60 6000000  0 0.8106621364721127 0.18933786352788945 
60 6000001  1 0.7989321684261633 0.20106783157383856 
61 6100000  1 0.7973142417991363 0.20268575820086598 
61 6100001  0 0.7985276867694069 0.2014723132305954 
62 6200000  1 0.8013590583667043 0.19864094163329737 
62 6200001  1 0.7993366500829199 0.20066334991708173 
63 6300000  0 0.797314241799136 0.20268575820086604 
63 6300001  0 0.8009545767099477 0.1990454232900542 
64 6400000  0 0.7985276867694068 0.20147231323059542 
64 6400001  1 0.7997411317396768 0.20025886826032485 
65 6500000  0 0.7985276867694064 0.2014723132305954 
65 6500001  0 0.8025725033369755 0.19742749666302675 
66 6600000  0 0.7997411317396772 0.2002588682603248 
66 6600001  0 0.8013590583667047 0.19864094163329735 
67 6700000  0 0.8041904299640026 0.19580957003599928 
67 6700001  1 0.7993366500829205 0.20066334991708168 
68 6800000  0 0.7977187234558929 0.20228127654410916 
68 6800001  1 0.7985276867694062 0.20147231323059547 
69 6900000  0 0.8025725033369754 0.19742749666302675 
69 6900001  0 0.7993366500829205 0.20066334991708162 
70 7000000  0 0.8013590583667048 0.19864094163329737 
70 7000001  0 0.8029769849937322 0.19702301500626984 
71 7100000  0 0.7973142417991359 0.20268575820086598 
71 7100001  1 0.7944828702018377 0.2055171297981641 
72 7200000  0 0.8021680216802187 0.1978319783197836 
72 7200001  0 0.800550095053191 0.19944990494681109 
73 7300000  1 0.8021680216802187 0.19783197831978366 
73 7300001  0 0.8033814666504893 0.196618533349513 
74 7400000  0 0.802976984993732 0.19702301500626992 
74 7400001  0 0.8005500950531911 0.19944990494681106 
75 7500000  0 0.8009545767099477 0.1990454232900542 
75 7500001  0 0.796505278485622 0.20349472151437975 
76 7600000  1 0.8021680216802185 0.19783197831978366 
76 7600001  1 0.8005500950531912 0.1994499049468111 
77 7700000  1 0.802572503336975 0.19742749666302675 
77 7700001  0 0.7936739068883238 0.20632609311167782 
78 7800000  1 0.799741131739677 0.2002588682603248 
78 7800001  0 0.8049993932775165 0.1950006067224855 
79 7900000  0 0.8033814666504888 0.196618533349513 
79 7900001  0 0.8033814666504888 0.19661853334951304 
80 8000000  1 0.8017635400234614 0.1982364599765405 
80 8000001  0 0.7973142417991359 0.2026857582008661 
81 8100000  0 0.8054038749342736 0.19459612506572865 
81 8100001  0 0.7989321684261634 0.20106783157383856 
82 8200000  0 0.7993366500829202 0.20066334991708173 
82 8200001  1 0.7997411317396771 0.20025886826032477 
83 8300000  0 0.7985276867694067 0.20147231323059545 
83 8300001  1 0.8009545767099479 0.19904542329005415 
84 8400000  0 0.800550095053191 0.19944990494681109 
84 8400001  1 0.8013590583667047 0.19864094163329737 
85 8500000  1 0.8025725033369755 0.19742749666302667 
85 8500001  0 0.7969097601423794 0.20309023985762287 
86 8600000  0 0.8078307648748148 0.19216923512518744 
86 8600001  0 0.7973142417991359 0.20268575820086604 
87 8700000  1 0.8029769849937323 0.1970230150062699 
87 8700001  1 0.803785948307246 0.19621405169275613 
88 8800000  0 0.7989321684261634 0.2010678315738386 
88 8800001  0 0.7956963151721084 0.20430368482789346 
89 8900000  0 0.7928649435748101 0.20713505642519153 
89 8900001  1 0.7989321684261635 0.2010678315738385 
90 9000000  0 0.7973142417991361 0.20268575820086598 
90 9000001  0 0.8082352465315717 0.19176475346843058 
91 9100000  0 0.8041904299640027 0.19580957003599925 
91 9100001  1 0.8017635400234614 0.1982364599765405 
92 9200000  0 0.8001456133964341 0.1998543866035679 
92 9200001  1 0.806212838247787 0.19378716175221497 
93 9300000  0 0.7948873518585947 0.20511264814140717 
93 9300001  1 0.7985276867694066 0.20147231323059542 
94 9400000  0 0.8041904299640026 0.19580957003599933 
94 9400001  0 0.7997411317396772 0.2002588682603248 
95 9500000  0 0.7993366500829202 0.20066334991708168 
95 9500001  0 0.7908425352910259 0.20915746470897587 
96 9600000  1 0.7989321684261632 0.2010678315738386 
96 9600001  0 0.800145613396434 0.19985438660356797 
97 9700000  0 0.800145613396434 0.19985438660356794 
97 9700001  0 0.7993366500829204 0.20066334991708168 
98 9800000  0 0.8025725033369753 0.19742749666302675 
98 9800001  0 0.7965052784856219 0.20349472151437975 
99 9900000  1 0.800550095053191 0.19944990494681109 
99 9900001  0 0.7952918335153515 0.20470816648465043 
100 10000000  1 0.8074262832180578 0.19257371678194435 
100 10000001  1 0.7985276867694069 0.2014723132305954 
101 10100000  0 0.8041904299640029 0.1958095700359993 
102 10200000  1 0.7981232051126499 0.20187679488735227 
103 10300000  1 0.8017635400234613 0.1982364599765405 
104 10400000  1 0.7993366500829202 0.20066334991708168 
105 10500000  0 0.800145613396434 0.199854386603568 
106 10600000  0 0.7940783885450806 0.2059216114549209 
107 10700000  1 0.7940783885450806 0.20592161145492088 
108 10800000  1 0.8005500950531911 0.19944990494681109 
109 10900000  0 0.8025725033369752 0.19742749666302678 
110 11000000  0 0.7969097601423788 0.20309023985762292 
111 11100000  0 0.8045949116207592 0.19540508837924242 
112 11200000  0 0.800550095053191 0.19944990494681109 
113 11300000  0 0.8054038749342731 0.19459612506572868 
114 11400000  0 0.800954576709948 0.19904542329005417 
115 11500000  0 0.7989321684261635 0.2010678315738385 
116 11600000  0 0.802572503336975 0.19742749666302678 
117 11700000  1 0.7997411317396772 0.2002588682603248 
118 11800000  0 0.7969097601423787 0.20309023985762292 
119 11900000  0 0.7989321684261634 0.2010678315738385 
120 12000000  0 0.7928649435748103 0.20713505642519153 
121 12100000  0 0.8009545767099477 0.1990454232900542 
122 12200000  0 0.7985276867694064 0.2014723132305954 
123 12300000  0 0.7977187234558931 0.2022812765441091 
124 12400000  1 0.7973142417991357 0.20268575820086604 
125 12500000  0 0.797718723455893 0.2022812765441092 
126 12600000  0 0.7985276867694068 0.2014723132305954 
127 12700000  0 0.7973142417991359 0.20268575820086604 
128 12800000  0 0.7944828702018378 0.20551712979816406 
129 12900000  0 0.8025725033369753 0.19742749666302667 
130 13000000  0 0.7956963151721084 0.20430368482789346 
131 13100000  0 0.8029769849937323 0.19702301500626987 
132 13200000  0 0.8021680216802178 0.19783197831978366 
133 13300000  1 0.7969097601423791 0.20309023985762287 
134 13400000  0 0.8029769849937318 0.19702301500626987 
135 13500000  1 0.8037859483072458 0.1962140516927562 
136 13600000  0 0.8066173199045441 0.19338268009545806 
137 13700000  0 0.7977187234558931 0.20228127654410916 
138 13800000  0 0.7973142417991356 0.20268575820086604 
139 13900000  0 0.8025725033369753 0.1974274966630268 
140 14000000  0 0.8021680216802183 0.19783197831978366 
141 14100000  0 0.8009545767099476 0.1990454232900542 
142 14200000  0 0.8005500950531909 0.19944990494681106 
